company,education,grad_education,job,name
WNYC Radio,Cornell University,Bachelor's degree,Data Reporter,Lylla Younes
Times Union,Boston University,BS,Data Journalist | Web Producer | Data Visualization Designer,Cathleen F. Crowley
Bloomberg LP,Brown University,Bachelor’s Degree,Data Journalist,Jacqueline Gu
Reuters,University of Missouri-Columbia,Bachelor of Journalism and Master of Arts,Data journalist,Jaimi Dowdell
NJ Advance Media,,,,Carla Astudillo
Birmingham Eastside,Birmingham City University,MA Data Journalism,Data Journalist,Victòria Oliveres
Financial Times,Massachusetts Institute of Technology,Bachelor of Science (B.S.),Data Visualisation Journalist,Joanna Kao
Vozpópuli,Universidad Rey Juan Carlos,Master's Degree,Data Journalist,Aitana Constans Belda
Pandora,University of Florida,Bachelor's degree,Data Journalist and Charts Manager,Emily Blake
Associated Press,Northwestern University -- Medill,MSJ,Data Journalist,Michelle Minkoff
Vizkidz,New York University,MA Journalism,Founder and Author,Liv Buli
YouGov,San Diego State University-California State University,Journalism,Data Journalist,Jamie Ballard
U.S. Department of Health and Human Services (HHS),Rutgers School of Public Affairs and Administration,Master of Public Administration - MPA,Data Journalist,Diana Negron
KUOW Public Radio,University of Missouri-Columbia,MA in Journalism,Reporter,Anna Boiko-Weyrauch
Hoodline,Columbia University in the City of New York,Master’s Degree,Data Journalist,Jessica Park
Activist Insight Ltd,University of Maryland College Park,Bachelor of Arts (B.A.),Data Journalist,Elana Dure
Second Measure,The College of New Jersey,Bachelor of Arts - BA,Data Journalist,Kathryn Gessner
Financial Times,University of Colorado Boulder - Leeds School of Business,Bachelor of Business Administration (BBA),Data visualization Journalist,Brooke Fox
Barron's,University of Southern California,Master of Arts (M.A.),Data Reporter,Evie Liu
The Real Deal,New York University,Masters of Journalism,Data Journalist,Laura Hanrahan
Guardian News & Media,Institut d'Etudes politiques de Paris,MA,Data Editor,Mona Chalabi
Financial Times,"University of California, Berkeley",Master's Degree,Data visualization journalist,Fan Fei
Forbes,CUNY Graduate School of Journalism,Maestría,Contribuiting writer,Monica Cordero
ProPublica,Massachusetts Institute of Technology,Master’s Degree,Data Fellow,Sophie Chou
La Vanguardia,Universidad Rey Juan Carlos,Master's Degree,Data Journalist,Laura Aragó
Bloomberg,University of the Philippines,BA Journalism,Data Visual Journalist,Hannah Dormido
99 Antennas,The Johns Hopkins University,Data Science Certification,"Founder, Data Scientist",Kate Stohr
Emsi,University of Idaho,Master of Natural Resources,Data Journalist,Meredith Metsker
Council on Foreign Relations,University of Ottawa / Université d'Ottawa,Bachelor of Arts (joint honours),Data Visualization Designer,Amanda Shendruk
Bloomberg,"Harvard University, John F. Kennedy School of Government",Master of Public Policy,Data Journalist,Lauren Leatherby
Bloomberg Law,University of Missouri-Columbia,Master of Arts (M.A.),Data Journalist,Jasmine Ye Han
Kansas City Business Journal,The University of Kansas,Bachelor of Science (B.S.),Data Journalist,Vicky Diaz-Camacho
El Intercambio,Universidad Rey Juan Carlos,"Master's degree in Data Journalism, Investigation and Data Visualization",Codirector and data journalist,Ximena Villagran
"Consultant: Data Journalism, Research, Web Analytics, Social Analytics, Search Analytics, Tableau",General Assembly,,Digital Analytics Strategist & Data Journalist Storyteller,Leslie Marable
Bloomberg Government,University of Missouri-Columbia,Master’s Degree,Data Journalist,Madi Alexander
Right To Know,NUI Galway,MA,Advisor,Karrie Kehoe
ProPublica,University of Missouri-Columbia,MA,"Deputy Editor, Data",Ryann Grochowski Jones
Lloyds Banking Group,Brunel University,Master's degree,Senior data journalist,Isabelle Marchand
BBC News,City University London,Master's Degree,Senior data journalist,Clara Guibourg
Bodegas Castaño,"Université Charles de Gaulle-Sciences humaines, Lettres et Arts (Lille III)",,Director of Marketing and Communications,Ana Lopez
Dubstech,University of Washington,Bachelor's degree,Data Science Journalist,Dana Korssjoen
Financial Times,"Goldsmiths, University of London",MSc Digital Journalism,Data Journalist,Patricia Nilsson
City of Takoma Park,University of Maryland College Park,Master’s Degree,Reporter,Helen Lyons
NJ Advance Media,University of Southern California,Master of Science (M.S.),"Reporter, Data and Investigations",Disha Raychaudhuri
Apple,Wesleyan University,Bachelor of Arts (B.A.),Bilingual Data Editor,Aoi Nakazawa
IndiaSpend,Cardiff University / Prifysgol Caerdydd,PG Diploma,Data Journalist,Pooja Dantewadia
DocGraph Journal,The University of Texas at Austin,Bachelor's degree,Data Journalist,Alma Trotter
VNG Corporation,Foreign Trade University,Bachelor's degree,Data Analyst/Data Journalist,Ha-Phuong NGUYEN
KQED,"University of California, Berkeley",Masters of Journalism,"Data Journalist, Senior Producer",Lisa Pickoff-White
